date, pm25, pm10, o3, no2, so2, co
2021/7/13, 65, 67, 109, 18, 2, 3
2021/7/14, 89, 36, 41, 9, 1, 2
2021/7/15, 61, 44, 84, 9, 2, 2
2021/7/16, 76, 46, 97, 7, 2, 2
2021/7/17, 77, 23, 41, 7, 2, 2
2021/7/18, 50, 24, 39, 7, 2, 2
2021/7/19, 59, 22, 28, 7, 2, 1
2021/7/20, 51, 29, 52, 8, 2, 3
2021/7/21, 60, 43, 72, 8, 2, 3
2021/7/22, 77, 29, 22, 8, 2, 2
2021/7/23, 67, 36, 44, 8, 2, 5
2021/7/24, 72, 39, 77, 8, 2, 4
2021/7/25, 67, 27, 34, 6, 2, 3
2021/7/26, 57, 34, 40, 7, 2, 3
2021/7/27, 63, 38, 29, 11, 2, 3
2021/7/28, 64, 34, 73, 10, 2, 3
2021/7/29, 62, 45, 131, 15, 2, 4
2021/7/30, 70, 39, 128, 14, 2, 3
2021/7/31, 64, 39, 114, 12, 2, 2
2021/8/1, 64, 55, 114, 12, 2, 4
2021/8/2, 87, 59, 89, 8, 2, 4
2021/8/3, 90, 41, 72, 5, 2, 2
2021/8/4, 78, 41, 54, 9, 2, 2
2021/8/5, 75, 37, 105, 13, 2, 2
2021/8/6, 72, 28, 65, 6, 2, 3
2021/8/7, 58, 25, 29, 9, 2, 4
2021/8/8, 46, 19, 61, 4, 2, 4
2021/8/9, 50, , , , , 
2021/8/20, 41, 48, 99, 12, 2, 4
2021/8/21, 69, 19, 34, 2, 2, 3
2021/8/22, 33, 19, 47, 5, 2, 3
2021/8/23, 47, 42, 39, 6, 2, 2
2021/8/24, 59, 52, 29, 17, 2, 3
2021/8/25, 67, 34, 32, 9, 2, 2
2021/8/26, 54, 40, 71, 14, 2, 4
2021/8/27, 63, 37, 29, 15, 2, 3
2021/8/28, 61, 37, 26, 12, 2, 3
2021/8/29, 60, 27, 15, 12, 2, 5
2021/8/30, 59, 9, 18, 10, 2, 9
2021/8/31, 29, 17, 29, 7, 2, 8
2021/9/1, 44, 28, 34, 9, 2, 8
2021/9/2, 59, 48, 16, 12, 2, 9
2021/9/3, 90, 13, 37, 5, , 5
2021/9/4, 32, 24, 35, 11, 2, 6
2021/9/5, 61, 16, 34, 4, 2, 4
2021/9/6, 37, 19, 54, 8, 2, 4
2021/9/7, 45, 23, 59, 8, 2, 4
2021/9/8, 48, 33, 60, 11, 2, 4
2021/9/9, 59, 40, 102, 14, 2, 5
2021/9/10, 68, 48, 97, 12, 2, 5
2021/9/11, 85, 31, 56, 6, 2, 3
2021/9/12, 57, 36, 54, 6, , 3
2021/9/13, 56, 29, 52, 5, 2, 3
2021/9/14, 59, 42, 57, 7, 2, 4
2021/9/15, 80, 9, 23, 2, 2, 3
2021/9/16, 38, 7, 19, 4, 2, 3
2021/9/17, 24, 6, 20, 5, 2, 7
2021/9/18, 19, 8, 34, 3, 2, 3
2021/9/19, 21, 23, 41, 3, 2, 2
2021/9/20, 46, 25, 39, 9, 2, 4
2021/9/21, 53, 46, 70, 12, 3, 6
2021/9/22, 72, 33, 21, 7, 2, 5
2021/9/23, 73, 15, 13, 5, 2, 6
2021/9/24, 55, 14, 14, 6, 2, 8
2021/9/25, 34, 6, 19, 6, 2, 4
2021/9/26, 19, 7, 14, 9, 1, 5
2021/9/27, 20, 9, 25, 5, 2, 4
2021/9/28, 23, 19, 49, 8, 2, 4
2021/9/29, 43, 43, 57, 13, 2, 7
2021/9/30, 75, 42, 45, 13, 3, 5
2021/4/1, 38, 17, 24, 9, 3, 4
2021/4/2, 37, 35, 10, 15, 3, 6
2021/4/3, 65, 58, 14, 16, 4, 6
2021/4/4, 81, 67, 38, 18, 4, 5
2021/4/5, 77, 80, 27, 23, 5, 5
2021/4/6, 85, 85, 30, 22, 4, 6
2021/4/7, 107, 102, 58, 23, 4, 7
2021/4/8, 130, 75, 29, 24, 4, 5
2021/4/9, 81, 91, 15, 27, 2, 7
2021/4/10, 134, 94, 34, 19, 3, 8
2021/4/11, 127, 85, 53, 19, 3, 7
2021/4/12, 90, 74, 26, 20, 4, 7
2021/4/13, 73, 69, 30, 18, 3, 6
2021/4/14, 105, 109, 18, 24, 3, 5
2021/4/15, 102, 130, 35, 22, 4, 3
2021/4/16, 116, 102, 39, 21, 5, 3
2021/4/17, 92, 99, 46, 26, 5, 5
2021/4/18, 119, 74, 48, 16, 4, 3
2021/4/19, 71, 60, 29, 13, 3, 5
2021/4/20, 102, 59, 12, 19, 3, 6
2021/4/21, 89, 70, 23, 20, 4, 7
2021/4/22, 92, 71, 21, 21, 3, 8
2021/4/23, 93, 35, 31, 9, 1, 5
2021/4/24, 58, 49, 23, 12, 1, 5
2021/4/25, 86, 38, 38, 9, 1, 5
2021/4/26, 46, 75, 41, 11, 2, 4
2021/4/27, 72, 53, 49, 10, 1, 3
2021/4/28, 53, 69, 49, 16, 2, 3
2021/4/29, 96, 86, 43, 19, 2, 3
2021/4/30, 98, 115, 34, 28, 3, 5
2021/5/1, 125, 105, 27, 20, 3, 6
2021/5/2, 119, 58, 38, 9, 2, 7
2021/5/3, 86, 89, 50, 11, 2, 4
2021/5/4, 71, 82, 49, 21, 2, 4
2021/5/5, 88, 71, 57, 18, 2, 4
2021/5/6, 85, 266, 42, 17, 2, 2
2021/5/7, 152, 130, 76, 20, 2, 2
2021/5/8, 144, 98, 105, 34, 2, 5
2021/5/9, 131, 84, 117, 23, 2, 4
2021/5/10, 108, 85, 73, 16, 3, 4
2021/5/11, 94, 71, 73, 18, 2, 3
2021/5/12, 104, 49, 55, 13, 2, 1
2021/5/13, 68, 47, 49, 8, 2, 2
2021/5/14, 77, 29, 29, 3, , 1
2021/5/15, 40, 25, 37, 6, 2, 1
2021/5/16, 34, 41, 62, 15, 2, 2
2021/5/17, 62, 47, 76, 20, 2, 3
2021/5/18, 62, 50, 58, 15, 2, 1
2021/5/19, 64, 45, 57, 12, 2, 1
2021/5/20, 54, 74, 41, 25, 2, 3
2021/5/21, 98, 77, 55, 18, 2, 2
2021/5/22, 96, 43, 49, 4, 2, 2
2021/5/23, 49, 52, 51, 12, 2, 1
2021/5/24, 63, 65, 33, 26, 3, 2
2021/5/25, 77, 65, 49, 17, 2, 1
2021/5/26, 73, 84, 45, 24, 3, 1
2021/5/27, 95, 84, 51, 18, 2, 2
2021/5/28, 88, 68, 70, 19, 2, 3
2021/5/29, 86, 61, 100, 21, 2, 3
2021/5/30, 79, 74, 92, 16, 2, 4
2021/5/31, 106, 64, 60, 10, 2, 5
2021/6/1, 98, 58, 66, 12, 2, 3
2021/6/2, 88, 36, 33, 7, 2, 1
2021/6/3, 50, 38, 60, 13, 2, 1
2021/6/4, 54, 40, 75, 14, 2, 2
2021/6/5, 60, 57, 127, 17, 3, 3
2021/6/6, 93, 58, 81, 13, 2, 3
2021/6/7, 87, 60, 136, 13, 2, 4
2021/6/8, 97, 32, 46, 10, 2, 2
2021/6/9, 53, 53, 100, 15, 2, 4
2021/6/10, 88, 66, 74, 19, 2, 5
2021/6/11, 90, 28, 41, 7, 2, 4
2021/6/12, 54, 51, 50, 17, 2, 4
2021/6/13, 65, 42, 24, 11, , 4
2021/6/14, 64, 28, 52, 7, , 4
2021/6/15, 59, 30, 29, 2, , 3
2021/6/16, 57, 11, 32, 3, , 2
2021/6/17, 32, 21, 45, 6, 2, 2
2021/6/18, 41, 29, 69, 11, 2, 3
2021/6/19, 52, 39, 99, 12, 2, 3
2021/6/20, 65, 39, 92, 12, 2, 2
2021/6/21, 64, 50, 110, 18, 2, 3
2021/6/22, 75, 60, 45, 22, 1, 3
2021/6/23, 84, 69, 78, 20, 2, 4
2021/6/24, 116, 31, 43, 5, , 3
2021/6/25, 75, 35, 43, 12, 2, 3
2021/6/26, 71, 42, 87, 11, , 2
2021/6/27, 72, 46, 118, 13, 2, 4
2021/6/28, 77, 51, 90, 17, 2, 5
2021/6/29, 75, 49, 79, 12, 1, 4
2021/6/30, 75, 30, 58, 5, 1, 2
2021/1/4, 211, 152, 8, 35, 7, 15
2021/1/5, 227, 92, 21, 22, 4, 8
2021/1/6, 116, 72, 19, 13, 4, 4
2021/1/7, 62, 66, 25, 18, 5, 7
2021/1/8, 106, 73, 13, 26, 6, 7
2021/1/9, 123, 88, 13, 22, 6, 7
2021/1/10, 133, 105, 29, 15, 4, 4
2021/1/11, 96, 68, 28, 22, 5, 6
2021/1/12, 101, 60, 25, 20, 5, 6
2021/1/13, 90, 89, 24, 24, 6, 8
2021/1/14, 126, 157, 16, 22, 6, 7
2021/1/15, 131, 121, 24, 21, 6, 8
2021/1/16, 139, 58, 23, 17, 4, 5
2021/1/17, 79, 70, 15, 27, 7, 9
2021/1/18, 110, 105, 17, 28, 8, 13
2021/1/19, 167, 125, 9, 36, 9, 16
2021/1/20, 192, 121, 36, 25, 9, 14
2021/1/21, 197, 114, 10, 37, 8, 14
2021/1/22, 187, 154, 18, 36, 7, 16
2021/1/23, 246, 177, 16, 33, 7, 18
2021/1/24, 283, 121, 30, 11, 4, 8
2021/1/25, 144, 114, 14, 28, 5, 9
2021/1/26, 150, 116, 34, 21, 6, 8
2021/1/27, 147, 110, 23, 20, 4, 5
2021/1/28, 85, 125, 21, 26, 6, 8
2021/1/29, 161, 72, 31, 20, 5, 6
2021/1/30, 112, 65, 20, 24, 6, 6
2021/1/31, 112, 63, 26, 21, 5, 6
2021/2/1, 99, 104, 19, 24, 7, 7
2021/2/2, 125, 93, 35, 19, 6, 7
2021/2/3, 132, 98, 16, 25, 8, 9
2021/2/4, 147, 80, 35, 19, 6, 7
2021/2/5, 116, 76, 28, 25, 6, 7
2021/2/6, 111, 79, 29, 23, 6, 8
2021/2/7, 127, 120, 29, 25, 8, 11
2021/2/8, 170, 127, 47, 24, 7, 12
2021/2/9, 188, 147, 58, 23, 7, 13
2021/2/10, 229, 155, 37, 16, 8, 16
2021/2/11, 260, 180, 58, 17, 11, 18
2021/2/12, 368, 107, 29, 8, 6, 12
2021/2/13, 192, 61, 24, 11, 4, 8
2021/2/14, 143, 69, 26, 13, 5, 8
2021/2/15, 123, 50, 36, 10, 5, 6
2021/2/16, 91, 69, 37, 17, 6, 7
2021/2/17, 118, 61, 36, 19, 6, 7
2021/2/18, 115, 56, 38, 17, 5, 6
2021/2/19, 91, 62, 29, 23, 5, 4
2021/2/20, 85, 65, 31, 19, 4, 3
2021/2/21, 82, 92, 27, 25, 6, 4
2021/2/22, 123, 131, 39, 24, 7, 6
2021/2/23, 159, 88, 16, 15, 5, 6
2021/2/24, 109, 45, 4, 15, 3, 7
2021/2/25, 119, 61, 4, 18, 2, 9
2021/2/26, 137, 88, 19, 15, 3, 8
2021/2/27, 168, 99, 18, 7, 2, 6
2021/2/28, 108, 52, 38, 6, 2, 3
2021/3/1, 75, 60, 25, 22, 3, 5
2021/3/2, 88, 73, 34, 21, 3, 6
2021/3/3, 107, 82, 19, 31, 4, 7
2021/3/4, 117, 98, 42, 25, 4, 9
2021/3/5, 143, 118, 12, 27, 3, 9
2021/3/6, 157, 97, 13, 21, 4, 8
2021/3/7, 150, 101, 9, 24, 3, 9
2021/3/8, 151, 97, 7, 26, 3, 8
2021/3/9, 152, 95, 3, 24, 4, 9
2021/3/10, 142, 80, 27, 22, 3, 9
2021/3/11, 127, 97, 28, 28, 4, 9
