Voltage(V),Current(A),PD Current(A),J (mA/cm2),L (cd/m2),Cur Eff (cd/A),Power Eff (lm/W),EQE(%),CIE X,CIE Y,Wav (nm),Intensity (au)
,,,,,,,,,,511.8,1.25e-05
,,,,,,,,,,512.2,4.462e-07
,,,,,,,,,,512.5,2.677e-06
,,,,,,,,,,512.9,4.462e-07
,,,,,,,,,,513.2,2.677e-06
,,,,,,,,,,513.6,6.249e-06
,,,,,,,,,,513.9,1.25e-05
,,,,,,,,,,514.3,8.927e-06
,,,,,,,,,,514.6,8.925e-07
,,,,,,,,,,515.0,1.339e-05
,,,,,,,,,,515.3,1.25e-05
,,,,,,,,,,515.7,6.249e-06
,,,,,,,,,,516.0,4.464e-06
,,,,,,,,,,516.4,1.83e-05
,,,,,,,,,,516.7,2.677e-06
,,,,,,,,,,517.0,8.034e-06
,,,,,,,,,,517.4,1.384e-05
,,,,,,,,,,517.8,1.785e-05
,,,,,,,,,,518.1,2.231e-06
,,,,,,,,,,518.5,8.927e-06
,,,,,,,,,,518.8,1.16e-05
,,,,,,,,,,519.1,8.925e-07
,,,,,,,,,,519.5,2.187e-05
,,,,,,,,,,519.8,2.41e-05
,,,,,,,,,,520.2,6.695e-06
,,,,,,,,,,520.5,8.925e-07
,,,,,,,,,,520.9,2.901e-05
,,,,,,,,,,521.2,6.695e-06
,,,,,,,,,,521.6,8.925e-07
,,,,,,,,,,521.9,8.925e-07
,,,,,,,,,,522.3,4.91e-06
,,,,,,,,,,522.6,4.464e-06
,,,,,,,,,,523.0,5.803e-06
,,,,,,,,,,523.3,6.249e-06
,,,,,,,,,,523.7,7.142e-06
,,,,,,,,,,524.0,1.205e-05
,,,,,,,,,,524.3,4.91e-06
,,,,,,,,,,524.7,6.695e-06
,,,,,,,,,,525.0,1.83e-05
,,,,,,,,,,525.4,5.357e-06
,,,,,,,,,,525.7,1.071e-05
,,,,,,,,,,526.1,3.124e-06
,,,,,,,,,,526.4,4.462e-07
,,,,,,,,,,526.8,9.373e-06
,,,,,,,,,,527.1,1.027e-05
,,,,,,,,,,527.5,5.357e-06
,,,,,,,,,,527.8,1.116e-05
,,,,,,,,,,528.2,1.384e-05
,,,,,,,,,,528.5,3.124e-06
,,,,,,,,,,528.9,8.48e-06
,,,,,,,,,,529.2,1.473e-05
,,,,,,,,,,529.5,3.57e-06
,,,,,,,,,,529.9,1.294e-05
,,,,,,,,,,530.2,1.518e-05
,,,,,,,,,,530.6,2.231e-06
,,,,,,,,,,530.9,1.473e-05
,,,,,,,,,,531.3,1.027e-05
,,,,,,,,,,531.6,8.034e-06
,,,,,,,,,,532.0,1.785e-06
,,,,,,,,,,532.3,1.919e-05
,,,,,,,,,,532.7,1.16e-05
,,,,,,,,,,533.0,8.927e-06
,,,,,,,,,,533.4,1.607e-05
,,,,,,,,,,533.7,8.925e-07
,,,,,,,,,,534.0,8.925e-07
,,,,,,,,,,534.4,4.016e-06
,,,,,,,,,,534.8,4.462e-07
,,,,,,,,,,535.1,7.142e-06
,,,,,,,,,,535.4,9.819e-06
,,,,,,,,,,535.8,1.875e-05
,,,,,,,,,,536.1,1.027e-05
,,,,,,,,,,536.5,7.588e-06
,,,,,,,,,,536.8,8.927e-06
,,,,,,,,,,537.2,2.231e-06
,,,,,,,,,,537.5,5.803e-06
,,,,,,,,,,537.9,1.473e-05
,,,,,,,,,,538.2,4.016e-06
,,,,,,,,,,538.5,2.231e-06
,,,,,,,,,,538.9,1.25e-05
,,,,,,,,,,539.2,4.462e-07
,,,,,,,,,,539.6,6.249e-06
,,,,,,,,,,539.9,6.249e-06
,,,,,,,,,,540.3,7.588e-06
,,,,,,,,,,540.6,1.919e-05
,,,,,,,,,,541.0,5.357e-06
,,,,,,,,,,541.3,2.544e-05
,,,,,,,,,,541.7,1.473e-05
,,,,,,,,,,542.0,8.927e-06
,,,,,,,,,,542.3,2.231e-06
,,,,,,,,,,542.7,6.695e-06
,,,,,,,,,,543.0,2.677e-06
,,,,,,,,,,543.4,1.384e-05
,,,,,,,,,,543.7,3.57e-06
,,,,,,,,,,544.1,7.142e-06
,,,,,,,,,,544.4,1.785e-06
,,,,,,,,,,544.8,4.464e-06
,,,,,,,,,,545.1,5.357e-06
,,,,,,,,,,545.5,6.695e-06
,,,,,,,,,,545.8,8.034e-06
,,,,,,,,,,546.1,9.819e-06
,,,,,,,,,,546.5,1.071e-05
,,,,,,,,,,546.8,6.695e-06
,,,,,,,,,,547.2,1.339e-06
,,,,,,,,,,547.5,1.25e-05
,,,,,,,,,,547.9,4.016e-06
,,,,,,,,,,548.2,9.373e-06
,,,,,,,,,,548.5,3.124e-06
,,,,,,,,,,548.9,5.803e-06
,,,,,,,,,,549.2,6.695e-06
,,,,,,,,,,549.6,6.249e-06
,,,,,,,,,,549.9,2.053e-05
,,,,,,,,,,550.3,1.428e-05
,,,,,,,,,,550.6,1.562e-05
,,,,,,,,,,551.0,6.249e-06
,,,,,,,,,,551.3,2.544e-05
,,,,,,,,,,551.7,1.384e-05
,,,,,,,,,,552.0,1.607e-05
,,,,,,,,,,552.3,2.677e-06
,,,,,,,,,,552.7,3.57e-06
,,,,,,,,,,553.0,4.462e-07
,,,,,,,,,,553.4,1.696e-05
,,,,,,,,,,553.7,7.588e-06
,,,,,,,,,,554.0,7.142e-06
,,,,,,,,,,554.4,6.249e-06
,,,,,,,,,,554.7,7.588e-06
,,,,,,,,,,555.1,1.339e-05
,,,,,,,,,,555.4,1.339e-06
,,,,,,,,,,555.8,8.927e-06
,,,,,,,,,,556.1,5.357e-06
,,,,,,,,,,556.5,5.357e-06
,,,,,,,,,,556.8,1.562e-05
,,,,,,,,,,557.2,1.384e-05
,,,,,,,,,,557.5,1.339e-05
,,,,,,,,,,557.8,2.723e-05
,,,,,,,,,,558.2,7.588e-06
,,,,,,,,,,558.5,1.518e-05
,,,,,,,,,,558.9,1.651e-05
,,,,,,,,,,559.2,2.499e-05
,,,,,,,,,,559.5,1.25e-05
,,,,,,,,,,559.9,2.187e-05
,,,,,,,,,,560.2,1.875e-05
,,,,,,,,,,560.6,2.098e-05
,,,,,,,,,,560.9,1.651e-05
,,,,,,,,,,561.3,1.964e-05
,,,,,,,,,,561.6,2.098e-05
,,,,,,,,,,562.0,1.964e-05
,,,,,,,,,,562.3,2.633e-05
,,,,,,,,,,562.6,8.927e-06
,,,,,,,,,,563.0,1.518e-05
,,,,,,,,,,563.3,2.098e-05
,,,,,,,,,,563.7,1.919e-05
,,,,,,,,,,564.0,2.366e-05
,,,,,,,,,,564.3,2.723e-05
,,,,,,,,,,564.7,2.812e-05
,,,,,,,,,,565.0,3.258e-05
,,,,,,,,,,565.4,2.455e-05
,,,,,,,,,,565.7,2.187e-05
,,,,,,,,,,566.1,2.812e-05
